country,iso3,rank,rank_pred,residual,population_latest,diaspora_2024,diaspora_per_capita
Paraguay,PRY,40,99.87776975209854,-59.877769752098544,6929153,746362,0.107713309260165
Australia,AUS,27,86.30536198805794,-59.30536198805794,27196812,430718,0.01583707678679398
Slovakia,SVK,48,105.42000090234481,-57.42000090234481,5422069,389909,0.07191147881002621
Italy,ITA,12,69.35057687979985,-57.350576879799846,58952704,2941444,0.04989498022007608
Colombia,COL,13,69.71048254049686,-56.710482540496855,52886363,3652238,0.06905821827831118
Montenegro,MNE,81,136.56268408931783,-55.56268408931783,623525,90678,0.14542801010384507
Hungary,HUN,42,97.49700475083704,-55.497004750837036,9562065,538794,0.05634703382585247
Czechia,CZE,41,95.64378213040165,-54.64378213040165,10905028,583214,0.05348120151548442
Germany,DEU,10,63.73619091421582,-53.73619091421582,83516593,4297233,0.05145364346938817
Faroe Islands,FRO,123,173.09467826008722,-50.09467826008722,54681,12282,0.22461183957864703
North Macedonia,MKD,67,116.7400745910826,-49.7400745910826,1824359,534616,0.2930432003788728
Brazil,BRA,6,55.72628798444607,-49.72628798444607,211998573,2194325,0.01035065929429628
Tunisia,TUN,44,93.42143156025529,-49.421431560255286,12277109,715249,0.05825874804890956
Greece,GRC,47,94.97923879201412,-47.979238792014115,10405134,780112,0.0749737581466995
Korea Republic,KOR,25,72.40160235221383,-47.40160235221383,51751065,2030473,0.03923538578384812
Japan,JPN,18,65.17958500553482,-47.17958500553482,123975371,1008173,0.00813204261352845
Canada,CAN,30,76.72492577688197,-46.724925776881975,41288599,1347381,0.03263324580230974
Albania,ALB,64,110.25398177482442,-46.253981774824425,2377128,1216628,0.511805843017288
Côte d'Ivoire,CIV,34,80.14618932657324,-46.146189326573236,31934230,1211422,0.03793490558563648
Algeria,DZA,28,74.1103760887516,-46.11037608875159,46814308,1780399,0.03803108656438967
IR Iran,IRN,21,66.44130031532973,-45.44130031532973,91567738,1733468,0.01893099073824451
Republic of Ireland,IRL,59,102.9601470114335,-43.960147011433506,5395790,714405,0.13240044553253555
Türkiye,TUR,22,64.77800591424094,-42.778005914240936,85518661,3130337,0.03660413953394335
Bosnia and Herzegovina,BIH,65,105.77727338883157,-40.777273388831574,3164253,1608324,0.5082792052342212
Cameroon,CMR,45,85.71964158673305,-40.71964158673305,29123744,409677,0.01406676971202603
Oman,OMN,79,118.71873074112288,-39.71873074112288,5281538,17095,0.00323674656889716
Mexico,MEX,15,54.40312118034778,-39.40312118034778,130861007,11596529,0.08861714628254388
Luxembourg,LUX,98,137.19750824295798,-39.19750824295798,677012,61859,0.0913706108606642
Poland,POL,35,73.05821736022047,-38.05821736022047,36559233,4572613,0.12507409550960766
Ukraine,UKR,32,69.49820129601883,-37.498201296018834,37860221,9769216,0.2580337816834191
Jamaica,JAM,71,108.08668374827162,-37.086683748271625,2839175,1248512,0.4397446441307774
Georgia,GEO,72,108.84888938801073,-36.84888938801073,3699557,496486,0.13420147331153431
Bahrain,BHR,91,127.63427190193714,-36.63427190193714,1588670,57160,0.03597978183008428
Chile,CHL,54,89.87657768425139,-35.87657768425139,19764771,444451,0.02248703007993363
Finland,FIN,73,108.17415035036558,-35.17415035036558,5619911,181834,0.03235531665892929
Gabon,GAB,87,121.91607173198004,-34.91607173198004,2538952,61160,0.02408867910854557
United Arab Emirates,ARE,68,100.7771482285353,-32.777148228535296,10986400,166074,0.01511632563897182
USA,USA,16,48.693853042725145,-32.693853042725145,340110988,3186999,0.00937046761923493
Jordan,JOR,63,94.46559597115245,-31.465595971152453,11552876,659204,0.05705973127384038
Mali,MLI,52,82.96024336231586,-30.960243362315865,24478595,1292519,0.05280200926564617
Egypt,EGY,29,59.39544226548482,-30.395442265484817,116538258,4820002,0.0413598253716818
Nigeria,NGA,26,54.84078080828654,-28.84078080828654,232679478,2094265,0.00900064336572046
Uzbekistan,UZB,50,76.3258888872543,-26.325888887254294,36361859,2114480,0.05815104227756892
Honduras,HND,66,92.09692469156387,-26.09692469156387,10825703,1397584,0.1290986830139345
Peru,PER,53,78.0050744991693,-25.005074499169297,34217848,1672482,0.04887747470267563
Saudi Arabia,SAU,61,85.76869708973905,-24.76869708973905,35300280,236699,0.00670530092112583
Romania,ROU,56,80.60641863294994,-24.60641863294994,19051804,4583819,0.24059763579343985
Venezuela,VEN,49,73.49309801355379,-24.49309801355379,28405543,8328514,0.29320030953113624
St Kitts and Nevis,KNA,152,174.38299253574,-22.382992535739987,46843,13872,0.29613816365305384
Israel,ISR,77,99.11046854006698,-22.110468540066975,9974400,324804,0.03256376323387873
Trinidad and Tobago,TTO,102,122.16143448759071,-20.16143448759071,1368333,323630,0.23651406492425456
Burkina Faso,BFA,62,81.49259663455915,-19.49259663455915,23548781,2050050,0.08705546159692937
New Zealand,NZL,85,103.40173977508505,-18.401739775085048,5287500,679772,0.1285620803782506
Russia,RUS,36,54.32302269336685,-18.323022693366852,143533851,9134094,0.06363721126663006
Comoros,COM,109,126.92900307656829,-17.929003076568293,866628,367574,0.42414276944663687
Congo DR,COD,46,63.59913873266363,-17.599138732663633,109276265,2097387,0.01919343601284322
Equatorial Guinea,GNQ,105,121.97778204401311,-16.97778204401311,1892516,136825,0.07229793565813974
Bolivia,BOL,76,92.9149096081292,-16.914909608129193,12413315,783473,0.06311553360242611
Iraq,IRQ,57,73.21575187510362,-16.21575187510362,46042015,2313028,0.05023733214108896
Bermuda,BMU,166,181.1811247254791,-15.181124725479094,64636,1100,0.01701837985023826
South Africa,ZAF,60,72.85577883381569,-12.855778833815691,64007187,1005800,0.01571386038258485
Guinea,GIN,80,92.70968600834978,-12.709686008349777,14754785,508203,0.03444326704862185
Bulgaria,BGR,86,98.57392455298583,-12.57392455298583,6441421,1252234,0.1944033777640058
Suriname,SUR,125,132.01619928536303,-7.0161992853630295,634431,258026,0.4067045904125114
Haiti,HTI,83,89.59869925749912,-6.598699257499121,11772557,2017692,0.17138944411141946
New Caledonia,NCL,151,157.30895801595153,-6.308958015951532,292639,5082,0.01736610636313
Ghana,GHA,74,79.84695883413737,-5.846958834137368,34427414,1055494,0.03065853276113041
Tahiti,PYF,157,161.60483592415363,-4.604835924153633,281807,2008,0.00712544400955263
Antigua and Barbuda,ATG,162,166.56861255753256,-4.5686125575325605,93772,13111,0.13981785607644073
The Gambia,GMB,116,120.24400325726033,-4.2440032572603315,2759988,72452,0.02625083877176277
Armenia,ARM,106,110.11127593874909,-4.111275938749088,3033500,637604,0.21018757211142244
Andorra,AND,173,175.9838654904584,-2.983865490458413,81938,1982,0.02418902096707266
Zambia,ZMB,92,94.34608669257031,-2.34608669257031,21314956,122793,0.00576088451695607
Cyprus,CYP,126,128.01500386569376,-2.015003865693757,1358282,80760,0.05945746170530126
Namibia,NAM,120,121.59119416054824,-1.5911941605482411,3030131,40371,0.0133231863572895
Benin,BEN,90,91.4564314666924,-1.4564314666923934,14462724,726530,0.05023465842257655
Palestine,PSE,95,95.7981809617657,-0.798180961765695,5289152,4233248,0.8003642171750783
Belarus,BLR,97,96.43841428007704,0.5615857199229595,9132629,790232,0.08652842461902263
Grenada,GRD,163,161.0890989912056,1.9109010087944114,117207,26300,0.2243893282824405
El Salvador,SLV,100,97.17421141489608,2.825788585103922,6338193,1834670,0.28946262759748714
Estonia,EST,129,126.10655854324102,2.8934414567589783,1372341,124216,0.090513946606565
Mauritania,MRT,115,111.98755359706487,3.012446402935126,5169395,91705,0.01773998698106838
Lebanon,LBN,108,102.30510090659043,5.694899093409575,5805962,681720,0.11741723421544956
Kyrgyz Republic,KGZ,107,100.73837197846409,6.261628021535913,7221868,540573,0.07485224044526984
Libya,LBY,112,105.6264822763438,6.373517723656207,7381023,156874,0.02125369342433969
Tajikistan,TJK,103,96.5037913811626,6.4962086188374,10590927,514478,0.04857723974492507
Angola,AGO,89,80.96806614661597,8.031933853384032,37885849,616967,0.01628489307445637
Vanuatu,VUT,160,151.44089958206888,8.55910041793112,327777,15202,0.04637909310293278
