Country,FIFA rank,Population,Diaspora per resident,Highlight
Nepal,176,29651054,0.089,Other
Cambodia,177,17638801,0.044,Other
Mauritius,178,1245779,0.092,Other
Barbados,179,282467,0.069,Other
Belize,180,417072,0.018,Other
Bangladesh,181,173562364,0.05,Other
Dominica,182,66205,0.323,Other
Chad,183,20299123,0.014,Other
Eritrea,184,3535603,0.258,Other
Laos,185,7769819,0.085,Other
Bhutan,186,791524,0.084,Other
Mongolia,187,3524788,0.05,Other
Aruba,189,107995,0.271,Other
Samoa,190,218019,0.547,Other
Sri Lanka,191,21916000,0.068,Other
American Samoa,192,46765,0.072,Other
Brunei Darussalam,193,462721,0.101,Other
Macau,194,687000,0.217,Other
Cayman Islands,195,74457,0.008,Other
São Tomé and Príncipe,196,235536,0.176,Other
Djibouti,197,1168722,0.003,Other
Somalia,198,19009151,0.102,Other
Tonga,199,104175,0.511,Other
Timor-Leste,200,1400638,0.078,Other
Guam,201,167777,0.007,Other
Pakistan,202,251269164,0.028,Other
Gibraltar,203,39329,0.012,Other
Seychelles,204,121354,0.183,Other
Turks and Caicos Islands,205,46535,0.057,Other
Liechtenstein,206,40450,0.009,Other
Bahamas,207,401283,0.005,Other
British Virgin Islands,208,39471,0.157,Other
US Virgin Islands,209,104377,0.039,Other
San Marino,211,33977,0.059,Other
