spec,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n,r2,adj_r2
M1,(Intercept),187.57137125522146,48.70634295630484,3.85106661412651,0.0026945333477623045,80.36943320606059,294.77330930438234,13,0.29064405318676517,0.22615714893101657
M1,log_squad_value,-28.125900412627438,13.248340404636329,-2.1229753730349974,0.05727361908636712,-57.285301039074454,1.0335002138195826,13,0.29064405318676517,0.22615714893101657
M2,(Intercept),185.46147864216877,52.42933962481654,3.537360568897643,0.0053803733091987065,68.64163004013157,302.28132724420595,13,0.2927833119941279,0.15133997439295344
M2,log_squad_value,-28.279528449532034,13.902099202175421,-2.0341912425072333,0.06931733972689683,-59.25533580606647,2.696278907002405,13,0.2927833119941279,0.15133997439295344
M2,ratio_un,9.662715010999442,55.55763579953087,0.17392235778112491,0.86539690068693,-114.12741183843877,133.45284186043767,13,0.2927833119941279,0.15133997439295344
M3,(Intercept),161.69412434972412,153.7097757612728,1.0519443122527994,0.32024816027709146,-186.021545880745,509.40979458019325,13,0.2949334564067622,0.0599112752090164
M3,log_squad_value,-21.762940509639364,41.96831822720082,-0.5185564118109981,0.6165774287286963,-116.70187219789614,73.17599117861741,13,0.2949334564067622,0.0599112752090164
M3,ratio_un,100.92651443556778,553.9766139503607,0.1821855145037067,0.8594746447499009,-1152.255650834937,1354.1086797060723,13,0.2949334564067622,0.0599112752090164
M3,log_squad_value:ratio_un,-24.896848842252346,150.28110043077365,-0.165668528982598,0.8720795581525185,-364.8563166149233,315.06261893041864,13,0.2949334564067622,0.0599112752090164
M4,(Intercept),205.59921586484933,58.43957768544435,3.518150267469477,0.007867166051001385,70.83730806262955,340.36112366706914,13,0.3918645607187686,0.08779684107815278
M4,log_squad_value,-31.979567512791476,14.990616491696402,-2.133305693632119,0.06545520006486365,-66.54799113190316,2.5888561063202005,13,0.3918645607187686,0.08779684107815278
M4,ratio_un,23.99662652749214,59.286647864136945,0.40475600142689,0.6962633617477207,-112.7186286096009,160.71188166458518,13,0.3918645607187686,0.08779684107815278
M4,confederationCONCACAF,-19.127978069331224,18.164753458091184,-1.0530271227441839,0.32309196849196725,-61.015974658653676,22.760018519991224,13,0.3918645607187686,0.08779684107815278
M4,confederationCAF,-23.839975217802568,33.245952783899135,-0.7170790192948887,0.4937268014790469,-100.50527981627644,52.8253293806713,13,0.3918645607187686,0.08779684107815278
M3a,(Intercept),-10128.576975490208,NA,NA,NA,NA,NA,4,1,NA
M3a,log_squad_value,2710.537561732886,NA,NA,NA,NA,NA,4,1,NA
M3a,ratio_heritage,17374.39152905731,NA,NA,NA,NA,NA,4,1,NA
M3a,log_squad_value:ratio_heritage,-4588.724827252712,NA,NA,NA,NA,NA,4,1,NA
M3b,(Intercept),161.69412434972412,153.7097757612728,1.0519443122527994,0.32024816027709146,-186.021545880745,509.40979458019325,13,0.2949334564067622,0.0599112752090164
M3b,log_squad_value,-21.762940509639364,41.96831822720082,-0.5185564118109981,0.6165774287286963,-116.70187219789614,73.17599117861741,13,0.2949334564067622,0.0599112752090164
M3b,ratio_un,100.92651443556778,553.9766139503607,0.1821855145037067,0.8594746447499009,-1152.255650834937,1354.1086797060723,13,0.2949334564067622,0.0599112752090164
M3b,log_squad_value:ratio_un,-24.896848842252346,150.28110043077365,-0.165668528982598,0.8720795581525185,-364.8563166149233,315.06261893041864,13,0.2949334564067622,0.0599112752090164
