rank,country,points,iso3,population_latest,diaspora_2024,diaspora_per_capita,is_uk_constituent
85,New Zealand,1281.57,NZL,5287500,679772,0.1285620803782506,FALSE
86,Bulgaria,1278.9,BGR,6441421,1252234,0.1944033777640058,FALSE
87,Gabon,1272.51,GAB,2538952,61160,0.024088679108545574,FALSE
88,Uganda,1264.09,UGA,50015092,578034,0.01155719157729431,FALSE
89,Angola,1263.1,AGO,37885849,616967,0.016284893074456377,FALSE
90,Benin,1258.98,BEN,14462724,726530,0.05023465842257655,FALSE
91,Bahrain,1258.53,BHR,1588670,57160,0.03597978183008428,FALSE
92,Zambia,1255.82,ZMB,21314956,122793,0.005760884516956075,FALSE
93,Thailand,1252.14,THA,71668011,1178757,0.01644746356920663,FALSE
94,China PR,1251.6,CHN,1408975000,11701619,0.008305057932184744,FALSE
95,Palestine,1244.73,PSE,5289152,4233248,0.8003642171750783,FALSE
96,Guatemala,1243.47,GTM,18406359,1460232,0.07933301746423614,FALSE
97,Belarus,1235.82,BLR,9132629,790232,0.08652842461902263,FALSE
98,Luxembourg,1227.77,LUX,677012,61859,0.09137061086066421,FALSE
99,Vietnam,1225.68,VNM,100987686,3693537,0.03657413241452032,FALSE
100,El Salvador,1225.26,SLV,6338193,1834670,0.28946262759748714,FALSE
101,Mozambique,1224.31,MOZ,34631766,702796,0.020293391910767705,FALSE
102,Trinidad and Tobago,1222.94,TTO,1368333,323630,0.23651406492425456,FALSE
103,Tajikistan,1221.78,TJK,10590927,514478,0.04857723974492507,FALSE
104,Madagascar,1203.76,MDG,31964956,212455,0.0066464974955698355,FALSE
105,Equatorial Guinea,1195.2,GNQ,1892516,136825,0.07229793565813974,FALSE
106,Armenia,1191.42,ARM,3033500,637604,0.21018757211142244,FALSE
107,Kyrgyz Republic,1191.14,KGZ,7221868,540573,0.07485224044526984,FALSE
108,Lebanon,1187.96,LBN,5805962,681720,0.11741723421544957,FALSE
109,Comoros,1187.91,COM,866628,367574,0.42414276944663687,FALSE
110,Kazakhstan,1182.96,KAZ,20592571,2796572,0.1358048977954234,FALSE
111,Kenya,1182.23,KEN,56432944,540466,0.009577136362051215,FALSE
112,Libya,1182.08,LBY,7381023,156874,0.02125369342433969,FALSE
113,Tanzania,1180.27,TZA,68560157,225017,0.0032820374084032507,FALSE
114,Niger,1179.66,NER,27032412,439378,0.016253747538325473,FALSE
115,Mauritania,1170.72,MRT,5169395,91705,0.017739986981068386,FALSE
116,The Gambia,1160.38,GMB,2759988,72452,0.026250838771762777,FALSE
117,Sudan,1157.22,SDN,50448963,3786603,0.07505809386012553,FALSE
118,Korea DPR,1151.05,PRK,26498823,46379,0.001750228679968163,FALSE
119,Sierra Leone,1148.98,SLE,8642022,63631,0.007362975933178601,FALSE
120,Namibia,1148.84,NAM,3030131,40371,0.013323186357289503,FALSE
121,Togo,1147.31,TGO,9515236,584790,0.06145827596919299,FALSE
