origin,origin_code,diaspora_1990,diaspora_2010,diaspora_2024
Estonia,233,106726,116903,124216
Faroe Islands*,234,7941,12146,12282
Finland*,246,266717,221943,181834
Iceland,352,6586,16404,23326
Ireland,372,927001,765462,714405
Isle of Man*,833,699,889,908
Latvia,428,181952,183282,161014
Lithuania,440,343671,354264,459268
Norway*,578,88450,98853,120891
Sweden,752,114669,177468,223508
United Kingdom*,826,3869251,4535077,4804944
Southern Europe,925,10381163,10833950,12511512
Albania,8,178747,962514,1216628
Andorra,20,143,1213,1982
Bosnia and Herzegovina,70,1108999,1481062,1608324
Croatia,191,840829,847561,826166
Gibraltar*,292,477,511,474
Greece,300,878261,703538,780112
Holy See*,336,22,74,313
Italy,380,3354372,2666862,2941444
Malta,470,66353,58858,43940
Montenegro,499,108639,100961,90678
North Macedonia,807,398374,430535,534616
Portugal,620,1589830,1727839,1799179
San Marino,674,2457,1954,1991
Serbia*,688,366262,620292,963307
Slovenia,705,112702,91568,78808
Spain*,724,1374696,1138608,1623550
Western Europe,926,6953771,8270225,9039660
Austria,40,433951,409023,430560
Belgium,56,312709,405732,521884
France*,250,1413608,2042164,2547158
Germany,276,3870620,4260810,4297233
Liechtenstein,438,22,264,346
Luxembourg,442,27725,36675,61859
Monaco,492,15534,26148,36682
Netherlands*,528,482951,597525,631391
Switzerland,756,396651,491884,512547
LATIN AMERICA AND THE CARIBBEAN,904,14438417,32980368,48269815
Caribbean,915,3701573,6767416,9578534
Anguilla*,660,2262,1719,1614
Antigua and Barbuda,28,7368,8143,13111
Aruba*,533,4564,7117,29305
Bahamas,44,2074,1867,2174
Barbados,52,20659,20844,19558
"Bonaire, Sint Eustatius and Saba*",535,2852,2883,4744
British Virgin Islands*,92,3832,4534,6185
Cayman Islands*,136,125,248,609
Cuba,192,839585,1337631,1879613
Curaçao*,531,3029,5354,10103
Dominica,212,18686,20788,21384
Dominican Republic,214,462285,1212240,1917153
Grenada,308,23961,21140,26300
Guadeloupe*,312,7510,10282,12374
Haiti,332,521381,1157011,2017692
Jamaica,388,611422,1005109,1248512
Martinique*,474,10837,14145,12893
Montserrat*,500,2006,2993,3341
Puerto Rico*,630,922587,1554887,1948223
Saint Kitts and Nevis,659,9854,11543,13872
Saint Lucia,662,14018,17985,21706
Saint Vincent and the Grenadines,670,23344,26840,35264
Sint Maarten (Dutch part)*,534,1108,1698,2464
Trinidad and Tobago,780,181630,314851,323630
Turks and Caicos Islands*,796,2246,2009,2663
United States Virgin Islands*,850,2348,3555,4047
Central America,916,6641926,15814764,17447447
Belize,84,3528,5247,7383
Costa Rica,188,22922,34241,50982
El Salvador,222,955569,1359464,1834670
Guatemala,320,323376,919782,1460232
Honduras,340,157813,604765,1397584
Mexico,484,4588874,12108928,11596529
Nicaragua,558,445757,609093,905251
Panama,591,144087,173244,194816
South America,931,4094918,10398188,21243834
Argentina,32,406466,877341,1183381
Bolivia (Plurinational State of),68,199843,648912,783473
Brazil,76,446721,1365997,2194325
Chile,152,390979,435797,444451
Colombia,170,1000769,2558298,3652238
Ecuador,218,209258,1122949,1243065
Falkland Islands (Malvinas)*,238,1082,414,93
French Guiana*,254,3047,3815,4490
Guyana,328,217690,404368,469649
Paraguay,600,321268,681322,746362
Peru,604,302008,1231719,1672482
Suriname,740,201053,243661,258026
Uruguay,858,178551,272665,263285
Venezuela (Bolivarian Republic of),862,216183,550930,8328514
NORTHERN AMERICA,905,2850358,4046448,4554127
Bermuda*,60,433,748,1100
Canada,124,1114493,1255259,1347381
Greenland*,304,10313,15437,18491
Saint Pierre and Miquelon*,666,61,105,156
United States of America*,840,1725058,2774899,3186999
OCEANIA,909,819761,1353618,1602503
Australia/New Zealand,927,580043,982983,1110490
Australia*,36,250909,362178,430718
New Zealand*,554,329134,620805,679772
Melanesia,928,102238,184414,244711
Fiji,242,65039,138607,181025
New Caledonia*,540,3957,5055,5082
Papua New Guinea,598,26144,30830,35050
Solomon Islands,90,2171,3024,8352
Vanuatu,548,4927,6898,15202
Micronesia,954,17262,24603,29390
Guam*,316,1539,1228,1179
Kiribati,296,3919,3344,6306
Marshall Islands,584,314,379,400
Micronesia (Fed. States of),583,4940,12464,13568
Nauru,520,1370,2092,2484
Northern Mariana Islands*,580,2229,2542,2779
Palau,585,2951,2554,2674
Polynesia*,957,120218,161618,217912
American Samoa*,16,1085,2341,3362
Cook Islands*,184,17630,20294,20288
French Polynesia*,258,3056,1312,2008
Niue*,570,5640,5231,4955
Samoa,882,64643,88359,119313
Tokelau*,772,295,703,688
Tonga,776,19954,34619,53237
Tuvalu,798,1265,1035,1239
Wallis and Futuna Islands*,876,6650,7724,12822
Others,2003,13071655,19030115,22065614
